"韩子昂","韩朵朵大","父女"
"韩子昂","刘培强","女婿"
"韩子昂","韩朵朵小","收养"
"韩朵朵小","刘启","兄妹"
"王磊","韩子昂","队长"
"王磊","刘启","队长"
"王磊","韩朵朵小","队长"
"王磊","李一一","队长"
"王磊","Tim","队长"
"王磊","何连科","队长"
"王磊","赵志刚","队长"
"王磊","张小强","队长"
"刘启","李一一","合作"

"周喆直","郝晓晞","领导"
"郝晓晞","李一一","母子"
"马兆","图恒宇","师徒"
"马兆","图恒宇","领导"
"马兆","刘培强","观察"
"图恒宇","图丫丫","父女"
"图恒宇","刘培强","观察"
"图恒宇","丫丫母亲","夫妻"
"丫丫母亲","图丫丫","母女"
"刘培强","韩朵朵大","夫妻"
"刘培强","刘启","父子"
"刘培强","赫伯特","战友"
"刘培强","马卡洛夫","战友"
"韩朵朵大","刘启","母子"
"张鹏","刘培强","师徒"
"张鹏","安德烈·戈拉希诺夫","战友"
"安德烈·戈拉希诺夫","马卡洛夫","师徒"